8,4,5,7,1,2,3,0,9
1,6,3,11,12,2,4,5,0
4,6,8,3,0,1,9,5,10,2
10,5,0,9,2,7,4,3,1
11,5,0,4,8,9,3,2,1
11,2,8,3,12,0,5,1
2,4,1,10,3,7,0,8,5
3,2,6,5,10,11,4,1,0
6,10,5,0,8,7,2
0,1,7,2,10,5,6,4,3
1,7,10,6,3,8,0,2
4,8,6,12,5,1,3,0,2
11,2,9,6,8,5,0,3,1
7,11,0,9,5,1,3,2
10,8,7,3,1,6,5
8,7,6,3,10,2,5
3,10,5,11,7,0,1,2
2,3,12,4,1,5,7,6,0
8,12,10,4,5,2,0,1,3
2,12,4,8,9,3,5,1,0
8,7,1,4,11
4,0,12,8,2,9,3,5,1
11,12,1,9,0,2,5,3
10,8,0,11,4,6,1
1,4,7,8,2,0,9,5,3
0,10,11,8,3,1,4,5,2
7,1,3,11,4,6,5,2,0
11,8,0,9,4,3,1,2,5
4,8,7,11,2
11,2,6,12,3,1,5,4,0
0,9,10,3,1,4,5,6,2,8
3,8,12,4,5,1,6,2,0
2,0,11,9,5,10,1,6,3
1,2,12,10,7,3,0
7,1,0,10,6,3,8,2
11,8,1,3,7,0,2,5
3,6,9,7,4,2,5,1,0
4,2,9,6,0,8,1,3,5,10
0,12,11,3,6,5,1,4,2
3,10,9,12,2,4,0,1,5
10,5,2,6,1,12,8
7,3,4,5,1,12,2,0,6
2,10,5,12,0,6,4,3,1
0,5,8,1,2,10,3,12,4
2,11,1,8,0,3,4,6,5
11,6,7,0,2,5,3,4,1
0,8,5,2,3,4,7,1,6
4,5,11,10,2,8,0,1,3
