3,6,11,10,9,5,7,2,8,1,0,4
7,2,6,12,5,8,9,1,11,3,4,0
3,4,8,0,10,6,9,12,7,1,5,2
5,10,12,0,9,7,6,2,3,11,4,1
7,11,12,5,9,10,3,2,6,4,0,1
5,2,4,7,12,10,8,11,6,1,3,0
1,12,7,2,9,0,10,6,4,3,8,5
12,11,3,4,9,1,10,8,0,5,6,2
6,8,10,3,7,1,0,12,2,9,4,5
5,2,4,7,10,9,1,6,0,3,8,12
1,8,3,2,6,10,4,12,5,7,9,0
2,4,3,11,5,7,1,6,9,12,8,0
2,11,0,8,12,10,9,6,4,5,3,1
0,1,8,11,9,2,5,6,10,4,3,7
1,5,6,10,8,3,9,7,4,11,2,0
7,12,2,10,9,3,4,8,5,1,0,6
3,11,8,9,0,7,10,6,2,1,4,5
7,10,2,3,0,1,12,5,9,4,8,6
9,3,4,12,1,2,7,8,10,5,6,0
10,2,8,5,6,4,0,9,3,7,11,1
6,4,0,1,2,12,11,8,3,7,10,5
2,1,4,12,0,6,3,7,10,11,8,5
4,11,12,5,3,1,9,10,6,7,2,0
9,2,8,6,12,7,3,5,0,4,11,1
6,3,12,0,8,11,7,4,10,2,1,5
1,8,2,5,6,12,9,3,11,4,10,0
6,4,2,8,7,5,1,3,10,0,11,9
9,4,11,10,12,2,3,8,5,6,1,0
1,8,12,3,6,4,10,11,0,9,5,2
9,3,8,6,4,5,0,10,7,11,1,2
6,10,0,4,1,3,2,7,8,11,9,5
7,11,4,0,9,8,3,1,2,10,5,6
0,5,7,11,2,8,12,10,3,1,4,6
6,1,11,9,4,8,2,7,3,12,5,0
4,10,2,12,9,5,8,3,7,1,0,6
0,2,10,5,6,1,8,7,9,3,11,4
1,3,2,12,5,7,0,9,6,11,8,4
9,1,3,6,0,10,7,2,11,8,5,4
9,7,5,1,8,10,2,0,4,12,6,3
8,3,6,5,2,1,0,9,12,7,4,11
0,2,7,11,12,6,4,3,10,1,9,5
10,1,7,12,0,6,3,2,5,11,9,4
9,8,0,10,6,7,3,5,11,1,4,2
7,10,9,4,5,2,11,8,0,6,3,1
4,1,6,0,11,9,3,5,8,12,2,10
11,10,8,4,6,12,3,2,7,5,0,1
6,11,1,7,5,12,8,10,0,4,3,2
5,1,7,9,0,11,3,6,2,4,8,12
